IRASPSC	F450	e_F450	F850	e_F850	SIMBAD	Otype	RA	Dec	SpType
IRAS 17441-2411	312.3	48.9	74.4	6	RAFGL 5385	pA*	266.806208333333	-24.2142777777778	F4I
IRAS 17448-3106	-	-	<14.7	>-12.6	IRAS 17448-3106	*	267.013895	-31.118292	~
IRAS 17505-3143	-	-	<14.2	>-12.7	RAFGL 5403	OH*	268.447862	-31.740641	O-rich
IRAS 17538-3728	-	-	<19.0	>-12.6	V* V438 Sco	Mi*	269.318192925	-37.4832488538889	M3e
IRAS 17539+1037	-	-	<13.4	>-12.7	IRC +10340	AB*	269.081210099583	10.6189760183889	M8
IRAS 17553+4521	-	-	<17.1	>-12.6	V* OP Her	S*	269.202194160833	45.3508497944722	M6S
IRAS 17599-3653	-	-	<20.8	>-12.6	RAFGL 5430	IR	270.824583333333	-36.8852777777778	~
IRAS 18044-2927	-	-	<15.9	>-12.7	HD 165531	V*	271.919135062083	-29.4423381392778	M5III
IRAS 18076-1034	-	-	29.6	4.2	IRC -10401	S*	272.60341297125	-10.5710638477222	M7S
IRAS 18162-0246	<-3.0	<15.4	>-12.7		RAFGL 5466	*	274.708783333333	-2.75798888888889	O-rich
IRAS 18216-1617	<-3.0	<12.4	>-4.9		RAFGL 2143	AB*	276.132545833333	-16.2670972222222	~
IRAS 18240+2326	-	-	<17.6	-1.1	RAFGL 2155	C*	276.524315	23.479637	C-rich
IRAS 18298-2111	-	-	18.3	2.3	RAFGL 5501	OH*	278.202333333333	-21.1604444444444	~
IRAS 18303-0519	289.1	52.7	142.6	11.4	IRAS 18303-0519	AB?	278.253997	-5.288888	~
IRAS 18349+1023	-	-	16.5	2.7	IRC +10365	Mi*	279.330248194167	10.4284700549722	M9
IRAS 18397+1738	-	-	<12.8	-0.9	IRC +20370	C*	280.4772948075	17.6856892177222	C7
IRAS 18437-0643	-	-	88.3	7.1	OH 26.4 -2.0	OH*	281.611658	-6.676042	~
IRAS 18501-2132	345.3	47.8	201	16.1	V* V2059 Sgr	Mi*	283.288078241667	-21.4754632453611	M8
IRAS 18535+0726	-	-	<14.7	>-7.5	OH 40.1 +2.4	OH*	283.9873625	7.50840833333333	~
IRAS 18560-2954	-	-	15.3	2.8	IRC -30398	AB*	284.807774120417	-29.8389565025	M9
