RA	Dec	JP11	LID	n_LID	U	B	V	R	I	J	K	L	M	N	H	ref	_RA	_DE
082.6960492	+05.9481392	  1114	 1.00036267	D	 3.510	 4.080	 4.210	 4.260	 4.410	 4.580	 4.660	 4.640	      	      	      	8137	082.69605	+05.94814
082.5864725	-07.4348114	  1116	 1.00036285	 	 5.290	 6.130	 6.320	 6.400	 6.570	      	      	      	      	      	      	8029	082.58647	-07.43481
082.5864725	-07.4348114	  1116	 1.00036285	 	 5.290	 6.130	 6.320	 6.390	 6.560	      	      	      	      	      	      	8137	082.58647	-07.43481
082.6791064	-05.4908022	  1118	 1.00036324	 	 9.170	 9.090	 9.030	 8.950	 8.930	      	      	      	      	      	      	8137	082.67911	-05.49080
082.8105525	+03.2921331	  1119	 1.00036351	D	 4.470	 5.290	 5.460	 5.500	 5.720	 5.920	 5.990	 5.950	      	      	      	8029	082.81055	+03.29213
082.8105525	+03.2921331	  1119	 1.00036351	D	 4.470	 5.290	 5.460	 5.530	 5.720	 5.920	 5.990	 5.940	      	      	      	8137	082.81055	+03.29213
082.7504811	-06.1913342	  1121	 1.00036366	 	 8.190	 8.230	 8.180	 8.080	 8.070	      	      	      	      	      	      	8137	082.75048	-06.19133
083.1819706	+32.1920217	  1122	 1.00036371	 	 4.680	 5.120	 4.770	 4.400	 4.130	      	      	      	      	      	      	8029	083.18197	+32.19202
083.0531294	+18.5942342	  1123	 1.00036389	V	 8.620	 6.410	 4.350	 2.590	 1.140	 0.320	-0.890	-1.250	      	      	      	8029	083.05313	+18.59423
083.0531294	+18.5942342	  1123	 1.00036389	V	      	      	      	      	      	      	      	      	-0.700	-0.800	      	8035	083.05313	+18.59423
083.0531294	+18.5942342	  1123	 1.00036389	V	 8.630	 6.410	 4.330	 2.550	 1.120	 0.310	-0.900	-1.260	      	      	-0.600	8057	083.05313	+18.59423
082.8745247	+01.6900375	  1126	 1.00036392	 	 6.790	 7.420	 7.540	 7.580	 7.730	      	      	      	      	      	      	8137	082.87452	+01.69004
082.8641525	-03.6772289	  1127	 1.00036395	 	10.650	 9.440	 7.970	 6.530	 5.390	 4.720	 3.820	      	      	      	      	8008	082.86415	-03.67723
082.8641525	-03.6772289	  1127	 1.00036395	 	      	      	      	      	      	 4.820	 4.030	 3.910	      	      	 4.130	8075	082.86415	-03.67723
082.8641525	-03.6772289	  1127	 1.00036395	 	      	      	      	      	      	      	 3.900	 3.700	      	      	 4.050	8130	082.86415	-03.67723
082.8641525	-03.6772289	  1127	 1.00036395	 	      	      	      	      	      	 4.770	 3.860	 3.830	      	      	 4.060	8149	082.86415	-03.67723
082.8458872	-03.9256700	  1131	 1.00036411	 	 9.860	 9.800	 9.710	 9.570	 9.590	      	      	      	      	      	      	8137	082.84589	-03.92567
082.8266958	-05.7037608	  1132	 1.00036412	 	10.710	10.190	 9.470	 8.780	 8.270	      	      	      	      	      	      	8137	082.82670	-05.70376
082.9217694	+02.8328292	  1133	 1.00036429	 	 6.810	 7.440	 7.560	 7.560	 7.680	      	      	      	      	      	      	8137	082.92177	+02.83283
082.8370556	-06.7083789	  1134	 1.00036430	 	 5.290	 6.030	 6.210	 6.270	 6.440	      	      	      	      	      	      	8029	082.83706	-06.70838
082.8370556	-06.7083789	  1134	 1.00036430	 	 5.290	 6.030	 6.210	 6.270	 6.450	      	      	      	      	      	      	8137	082.83706	-06.70838
083.0016694	-00.2990919	  1136	 1.00036486	V	 0.960	 2.020	 2.240	 2.320	 2.540	 2.730	 2.900	 2.890	      	      	      	8029	083.00167	-00.29909
083.0016694	-00.2990919	  1136	 1.00036486	V	 0.960	 2.020	 2.240	 2.320	 2.540	 2.690	 2.870	 2.870	      	      	      	8137	083.00167	-00.29909
082.9226789	-07.0486453	  1138	 1.00036487	 	 7.150	 7.670	 7.780	 7.790	 7.910	      	      	      	      	      	      	8137	082.92268	-07.04865
082.9827500	-07.3015369	  1139	 1.00036512	 	 3.290	 4.360	 4.620	 4.740	 5.000	 5.290	 5.520	 5.650	      	      	      	8029	082.98275	-07.30154
082.9827500	-07.3015369	  1139	 1.00036512	 	      	      	      	 4.740	 5.000	      	      	      	      	      	      	8037	082.98275	-07.30154
082.9827500	-07.3015369	  1139	 1.00036512	 	      	 4.330	 4.600	 4.720	 4.980	      	      	      	      	      	      	8050	082.98275	-07.30154
082.9827500	-07.3015369	  1139	 1.00036512	 	      	 4.370	 4.630	 4.740	 5.000	      	      	      	      	      	      	8059	082.98275	-07.30154
082.9827500	-07.3015369	  1139	 1.00036512	 	 3.300	 4.370	 4.630	 4.750	 5.000	 5.300	 5.530	 5.660	      	      	      	8137	082.98275	-07.30154
082.9634597	-07.7161669	  1144	 1.00036513	 	 9.440	 9.510	 9.490	 9.450	 9.470	      	      	      	      	      	      	8137	082.96346	-07.71617
083.0694167	-03.5641272	  1145	 1.00036527	 	 9.740	 9.640	 9.490	 9.250	 9.200	      	      	      	      	      	      	8137	083.06942	-03.56413
083.0617894	-04.5183842	  1146	 1.00036540	 	 7.710	 8.190	 8.130	 7.980	 7.920	      	      	      	      	      	      	8054	083.06179	-04.51838
083.0617894	-04.5183842	  1146	 1.00036540	 	 7.720	 8.200	 8.140	 7.970	 7.920	      	      	      	      	      	      	8137	083.06179	-04.51838
083.0292939	-06.7083044	  1148	 1.00036541	 	 7.130	 7.570	 7.670	 7.640	 7.740	      	      	      	      	      	      	8137	083.02929	-06.70830
083.0669325	-06.3963714	  1149	 1.00036550	 	 9.310	 9.370	 9.350	 9.300	 9.330	      	      	      	      	      	      	8137	083.06693	-06.39637
082.5819125	-43.6938778	  1150	 1.00036552	 	 9.460	 8.940	 8.080	 7.370	 6.890	      	      	      	      	      	      	8153	082.58191	-43.69388
083.1125250	-04.5755583	  1151	 1.00036559	 	 8.550	 8.780	 8.810	 8.740	 8.850	      	      	      	      	      	      	8137	083.11252	-04.57556
083.0788514	-06.3925267	  1152	 1.00036560	 	 7.790	 8.170	 8.250	 8.260	 8.360	      	      	      	      	      	      	8137	083.07885	-06.39253
082.8031492	-35.4705189	  1153	 1.00036597	 	 6.090	 5.010	 3.870	 3.050	 2.450	 2.000	 1.280	      	      	      	      	8029	082.80315	-35.47052
083.1636458	-06.8796611	  1154	 1.00036607	 	 9.010	 9.160	 9.190	 9.150	 9.210	      	      	      	      	      	      	8137	083.16365	-06.87966
083.2871161	+03.1310911	  1155	 1.00036627	 	 6.940	 7.480	 7.580	 7.630	 7.720	      	      	      	      	      	      	8137	083.28712	+03.13109
083.1825664	-17.8222886	  1156	 1.00036673	 	 3.020	 2.770	 2.570	 2.350	 2.140	 2.050	 1.870	      	      	      	      	8029	083.18257	-17.82229
083.1825664	-17.8222886	  1156	 1.00036673	 	      	      	      	      	      	 2.030	 1.850	 1.820	      	      	 1.920	8132	083.18257	-17.82229
083.3187000	-07.5875631	  1158	 1.00036697	 	 8.660	 8.700	 8.630	 8.520	 8.500	      	      	      	      	      	      	8137	083.31870	-07.58756
083.4899458	+01.4076467	  1159	 1.00036741	 	 5.620	 6.420	 6.580	 6.650	 6.860	      	      	      	      	      	      	8029	083.48995	+01.40765
083.4899458	+01.4076467	  1159	 1.00036741	 	 5.620	 6.420	 6.580	 6.650	 6.860	      	      	      	      	      	      	8137	083.48995	+01.40765
083.5698872	+03.7668950	  1161	 1.00036777	 	 5.480	 5.410	 5.360	 5.280	 5.240	      	      	      	      	      	      	8029	083.56989	+03.76689
083.5019375	-01.7544806	  1162	 1.00036781	 	 8.110	 8.510	 8.510	 8.440	 8.440	 8.510	 8.580	      	      	      	      	8137	083.50194	-01.75448
083.4671583	-06.6156444	  1163	 1.00036783	 	 9.410	 9.500	 9.490	 9.440	 9.420	      	      	      	      	      	      	8137	083.46716	-06.61564
083.7051547	+09.4895792	  1164	 1.00036822	 	 3.290	 4.260	 4.410	 4.420	 4.590	 4.810	 4.980	 4.970	      	      	      	8029	083.70515	+09.48958
083.7051547	+09.4895792	  1164	 1.00036822	 	 3.290	 4.260	 4.410	 4.420	 4.590	 4.790	 4.950	 4.970	      	      	      	8137	083.70515	+09.48958
083.6806592	+05.6608817	  1166	 1.00036824	 	 5.860	 6.570	 6.710	 6.730	 6.890	 7.170	 7.250	 7.200	      	      	      	8137	083.68066	+05.66088
083.6405044	-00.3865258	  1167	 1.00036841	 	 8.280	 8.620	 8.580	 8.500	 8.470	      	      	      	      	      	      	8137	083.64050	-00.38653
083.7841667	+09.9347222	  1168	 1.00036861	D	 2.170	 3.200	 3.390	 3.460	 3.630	 3.780	 3.930	      	      	      	      	8029	083.78417	+09.93472
083.7841667	+09.9347222	  1168	 1.00036861	D	 2.190	 3.210	 3.390	 3.450	 3.620	 3.770	 3.920	      	      	      	      	8137	083.78417	+09.93472
083.6430822	-01.7437086	  1170	 1.00036863	 	 8.750	 8.550	 8.280	 7.970	 7.890	      	      	      	      	      	      	8137	083.64308	-01.74371
083.6024731	-07.3894339	  1171	 1.00036867	 	 9.140	 9.280	 9.280	 9.260	 9.290	      	      	      	      	      	      	8137	083.60247	-07.38943
083.7353775	-00.1228597	  1172	 1.00036898	 	 6.610	 7.030	 7.110	 7.100	 7.190	      	      	      	      	      	      	8137	083.73538	-00.12286
083.9936125	+24.7483589	  1173	 1.00036910	 	      	      	      	      	      	      	 6.450	 5.170	      	      	 7.470	8140	083.99361	+24.74836
083.7248514	-04.1104181	  1174	 1.00036916	 	 6.080	 6.610	 6.750	 6.750	 6.890	      	      	      	      	      	      	8137	083.72485	-04.11042
083.7836792	-06.5635639	  1175	 1.00037001	 	 8.580	 8.840	 8.880	 8.850	 8.920	      	      	      	      	      	      	8137	083.78368	-06.56356
083.8996022	-03.2528400	  1176	 1.00037055	 	 5.640	 6.280	 6.400	 6.410	 6.530	      	      	      	      	      	      	8029	083.89960	-03.25284
083.8996022	-03.2528400	  1176	 1.00037055	 	 5.640	 6.280	 6.400	 6.410	 6.540	      	      	      	      	      	      	8137	083.89960	-03.25284
083.9160506	-03.3160853	  1178	 1.00037056	 	 7.960	 8.320	 8.370	 8.330	 8.390	      	      	      	      	      	      	8137	083.91605	-03.31609
083.9060994	-03.5784167	  1179	 1.00037057	 	 9.180	 9.300	 9.290	 9.150	 9.150	      	      	      	      	      	      	8137	083.90610	-03.57842
083.8798375	-04.9042917	  1180	 1.00037059	 	 8.790	 9.050	 9.070	 9.070	 9.130	      	      	      	      	      	      	8137	083.87984	-04.90429
084.0533894	-01.2019197	  1181	 1.00037128	V	 0.480	 1.510	 1.690	 1.760	 1.930	 2.070	 2.180	 2.150	      	      	      	8029	084.05339	-01.20192
084.0533894	-01.2019197	  1181	 1.00037128	V	 0.480	 1.510	 1.690	 1.760	 1.930	 2.060	 2.170	 2.150	      	      	      	8137	084.05339	-01.20192
083.9967625	-06.2750556	  1183	 1.00037131	 	 7.730	 8.060	 8.130	 8.080	 8.110	      	      	      	      	      	      	8137	083.99676	-06.27506
084.0781833	-00.3036639	  1184	 1.00037140	 	 8.250	 8.660	 8.560	 8.380	 8.320	 8.210	 8.130	 7.680	      	      	      	8137	084.07818	-00.30366
084.2266161	+09.2906728	  1185	 1.00037160	 	 5.700	 5.040	 4.090	 3.330	 2.780	 2.350	 1.690	      	      	      	      	8029	084.22662	+09.29067
084.2682606	+11.0350044	  1186	 1.00037171	 	 9.430	 7.500	 5.900	 4.710	 3.770	 3.150	 2.120	      	      	      	      	8029	084.26826	+11.03500
084.4111908	+21.1425492	  1187	 1.00037202	 	 2.220	 2.840	 3.030	 3.060	 3.150	 3.200	 2.940	      	      	      	      	8029	084.41119	+21.14255
084.4111908	+21.1425492	  1187	 1.00037202	 	      	 2.720	 2.900	 2.930	 3.030	      	      	      	      	      	      	8054	084.41119	+21.14255
084.4111908	+21.1425492	  1187	 1.00037202	 	      	      	      	      	      	      	 3.010	 2.670	      	      	 3.080	8111	084.41119	+21.14255
084.4111908	+21.1425492	  1187	 1.00037202	 	      	      	      	      	      	      	      	 2.650	 2.400	      	      	8151	084.41119	+21.14255
084.3073458	-03.8429556	  1191	 1.00037273	 	10.120	10.070	 9.920	 9.720	 9.590	      	      	      	      	      	      	8137	084.30735	-03.84296
084.4089450	-03.6549275	  1192	 1.00037322	 	 9.890	 9.870	 9.800	 9.730	 9.720	      	      	      	      	      	      	8137	084.40894	-03.65493
084.4727267	+00.9686097	  1193	 1.00037330	 	 6.840	 7.360	 7.460	 7.450	 7.570	      	      	      	      	      	      	8137	084.47273	+00.96861
083.4063239	-62.4898253	  1193	 1.00037350	 	      	      	      	 3.180	 2.750	      	      	      	      	      	      	8037	083.40632	-62.48983
084.4724394	-04.8140342	  1195	 1.00037356	 	      	 6.120	 6.160	 6.130	 6.180	      	      	      	      	      	      	8054	084.47244	-04.81403
084.4461625	-06.7084028	  1196	 1.00037357	 	 9.040	 8.960	 8.870	 8.750	 8.650	      	      	      	      	      	      	8137	084.44616	-06.70840
084.4618042	-06.7220944	  1197	 1.00037373	 	 7.860	 8.220	 8.330	 8.340	 8.450	      	      	      	      	      	      	8137	084.46180	-06.72209
084.8741397	+29.8334736	  1198	 1.00037386	V	      	      	      	      	      	      	 5.350	 5.300	      	      	 5.480	8140	084.87414	+29.83347
084.8741397	+29.8334736	  1198	 1.00037386	V	      	      	      	      	      	      	 5.380	 5.060	      	      	 5.550	8140	084.87414	+29.83347
084.5048583	-06.2391306	  1200	 1.00037390	 	 9.520	 9.570	 9.420	 9.200	 9.030	      	      	      	      	      	      	8137	084.50486	-06.23913
085.3347322	+53.4810578	  1201	 1.00037394	 	 7.580	 7.070	 6.230	 5.540	 5.110	      	      	      	      	      	      	8029	085.33473	+53.48106
085.3347322	+53.4810578	  1201	 1.00037394	 	      	      	      	      	      	 4.740	 4.240	 4.160	      	      	 4.300	8043	085.33473	+53.48106
084.5604375	-05.4203611	  1203	 1.00037411	 	10.030	 9.910	 9.790	 9.600	 9.450	      	      	      	      	      	      	8137	084.56044	-05.42036
084.5814958	-06.1330528	  1204	 1.00037428	 	 8.630	 8.790	 8.680	 8.490	 8.370	 8.360	 8.430	 8.490	      	      	      	8137	084.58150	-06.13305
084.6865333	-02.6000689	  1204	 1.00037468	D	 2.550	 3.560	 3.800	 3.880	 4.120	 4.330	 4.500	 4.520	      	      	      	8029	084.68653	-02.60007
084.6865333	-02.6000689	  1204	 1.00037468	D	 2.550	 3.560	 3.800	 3.880	 4.120	 4.340	 4.500	 4.530	      	      	      	8137	084.68653	-02.60007
084.6644250	-04.6802222	  1207	 1.00037469	 	 9.850	 9.810	 9.620	 9.360	 9.180	      	      	      	      	      	      	8137	084.66442	-04.68022
084.6446961	-06.1638833	  1208	 1.00037470	 	 8.030	 8.260	 8.240	 8.110	 8.070	      	      	      	      	      	      	8137	084.64470	-06.16388
084.7964428	+04.1214669	  1209	 1.00037490	 	 3.730	 4.480	 4.590	 4.570	 4.670	 4.750	 4.820	 4.810	      	      	      	8029	084.79644	+04.12147
084.7964428	+04.1214669	  1209	 1.00037490	 	 3.730	 4.490	 4.590	 4.570	 4.670	 4.760	 4.820	 4.800	      	      	      	8137	084.79644	+04.12147
084.7211792	-07.2128289	  1211	 1.00037507	 	 5.050	 4.940	 4.810	 4.660	 4.600	      	      	      	      	      	      	8029	084.72118	-07.21283
085.1496133	+31.3581972	  1212	 1.00037519	 	 5.880	 6.090	 6.040	 5.930	 5.880	 5.810	 5.910	      	      	      	      	8029	085.14961	+31.35820
084.7600022	-05.1944661	  1213	 1.00037526	 	 6.940	 7.460	 7.600	 7.630	 7.770	      	      	      	      	      	      	8137	084.76000	-05.19447
085.1752100	+31.9206075	  1214	 1.00037536	 	10.520	 8.300	 6.210	 4.430	 3.010	 2.110	 0.900	 0.630	      	      	 1.200	8057	085.17521	+31.92061
084.7601042	-06.0869722	  1215	 1.00037547	 	 9.170	 9.250	 9.280	 9.270	 9.300	      	      	      	      	      	      	8137	084.76010	-06.08697
084.9809261	-03.3304942	  1216	 1.00037642	 	 7.350	 7.920	 8.060	 8.060	 8.180	      	      	      	      	      	      	8137	084.98093	-03.33049
085.1052247	-04.4212325	  1217	 1.00037700	 	 7.470	 7.930	 8.040	 8.050	 8.180	      	      	      	      	      	      	8137	085.10522	-04.42123
085.3238278	+16.5341478	  1218	 1.00037711	D	 4.110	 4.740	 4.860	 4.870	 4.990	      	      	      	      	      	      	8029	085.32383	+16.53415
085.1896961	-01.9425722	  1219	 1.00037742	D	 0.500	 1.560	 1.770	 1.850	 2.050	 2.210	 2.340	 2.330	      	      	      	8029	085.18970	-01.94257
085.1896961	-01.9425722	  1219	 1.00037742	D	      	      	      	      	      	 2.200	 2.310	 2.330	      	      	 2.270	8132	085.18970	-01.94257
085.1896961	-01.9425722	  1219	 1.00037742	D	      	      	      	      	      	 2.200	 2.310	 2.330	      	      	 2.270	8134	085.18970	-01.94257
085.1896961	-01.9425722	  1219	 1.00037742	D	 0.500	 1.560	 1.770	 1.850	 2.050	 2.210	 2.330	 2.310	      	      	      	8137	085.18970	-01.94257
082.9708983	-76.3409639	  1223	 1.00037763	 	      	      	      	 4.330	 3.780	      	      	      	      	      	      	8037	082.97090	-76.34096
085.2904964	+04.2399289	  1224	 1.00037775	 	      	      	      	 2.620	 2.710	      	      	      	      	      	      	8049	085.29050	+04.23993
084.9122497	-34.0741078	  1225	 1.00037795	 	 2.050	 2.520	 2.640	 2.660	 2.760	 2.810	 2.840	      	      	      	      	8029	084.91225	-34.07411
084.9122497	-34.0741078	  1225	 1.00037795	 	      	      	      	 2.600	 2.680	      	      	      	      	      	      	8062	084.91225	-34.07411
084.9122497	-34.0741078	  1225	 1.00037795	 	 2.190	 2.550	 2.680	 2.630	 2.720	      	      	      	      	      	      	8062	084.91225	-34.07411
084.9122497	-34.0741078	  1225	 1.00037795	 	      	      	      	 2.660	 2.740	      	      	      	      	      	      	8062	084.91225	-34.07411
084.9122497	-34.0741078	  1225	 1.00037795	 	 2.090	 2.540	 2.650	 2.720	 2.810	      	      	      	      	      	      	8062	084.91225	-34.07411
085.2595531	-02.7168692	  1230	 1.00037806	 	      	      	      	      	      	      	 5.520	 4.270	      	      	 6.310	8111	085.25955	-02.71687
085.2838614	-03.6325656	  1231	 1.00037807	 	 7.180	 7.790	 7.900	 7.940	 8.050	      	      	      	      	      	      	8137	085.28386	-03.63257
084.9576689	-32.6292161	  1232	 1.00037811	 	      	 6.350	 5.440	 4.730	 4.260	      	      	      	      	      	      	8059	084.95767	-32.62922
083.8193367	-69.6773494	  1233	 1.00037836	 	      	10.760	10.650	10.200	10.090	      	      	      	      	      	      	8059	083.81934	-69.67735
083.8193367	-69.6773494	  1233	 1.00037836	 	      	      	      	      	      	 9.900	 9.490	      	      	      	 9.790	8143	083.81934	-69.67735
085.3647858	-06.7687467	  1235	 1.00037888	 	 9.210	 9.230	 9.210	 9.130	 9.110	      	      	      	      	      	      	8137	085.36479	-06.76875
085.3433600	-06.9351983	  1236	 1.00037889	 	 6.870	 7.540	 7.670	 7.680	 7.800	      	      	      	      	      	      	8137	085.34336	-06.93520
085.4099506	-02.2590211	  1237	 1.00037903	 	 7.320	 7.720	 7.830	 7.640	 7.520	 7.480	 7.410	 7.000	      	      	      	8137	085.40995	-02.25902
084.1062500	-69.3836111	  1238	 1.00037974	 	      	11.090	10.940	10.240	10.300	      	      	      	      	      	      	8059	084.10625	-69.38361
084.1062500	-69.3836111	  1238	 1.00037974	 	      	      	      	      	      	10.010	 8.670	      	      	      	 9.670	8143	084.10625	-69.38361
085.6193006	+01.4746289	  1240	 1.00037984	 	 7.130	 6.070	 4.900	 4.020	 3.410	 2.890	 2.110	      	      	      	      	8029	085.61930	+01.47463
083.6865939	-73.7412767	  1241	 1.00037993	 	      	      	      	 4.100	 2.570	      	      	      	      	      	      	8037	083.68659	-73.74128
085.6919131	-04.6361867	  1242	 1.00038051	 	 8.530	 8.830	 8.480	 8.100	 7.840	 7.760	 7.690	      	      	      	      	8137	085.69191	-04.63619
085.7523931	-02.3126025	  1243	 1.00038087	 	 7.970	 8.410	 8.300	 8.070	 7.900	      	      	      	      	      	      	8137	085.75239	-02.31260
085.7450500	-04.8327819	  1244	 1.00038088	 	 9.910	 9.840	 9.680	 9.480	 9.340	      	      	      	      	      	      	8137	085.74505	-04.83278
086.4751614	+49.8262553	  1245	 1.00038104	 	 5.570	 5.500	 5.470	 5.390	 5.380	      	      	      	      	      	      	8029	086.47516	+49.82626
085.7995533	-04.9971936	  1246	 1.00038120	 	 9.010	 9.080	 9.050	 8.930	 8.890	      	      	      	      	      	      	8137	085.79955	-04.99719
085.9324356	-00.9386606	  1247	 1.00038165	 	 8.890	 9.090	 8.840	 8.540	 8.340	      	      	      	      	      	      	8137	085.93244	-00.93866
086.0105458	-06.7333631	  1248	 1.00038239	 	 9.270	 9.260	 9.220	 9.150	 9.190	      	      	      	      	      	      	8137	086.01055	-06.73336
084.6766625	-69.1007806	  1249	 1.00038268	 	      	 9.320	 9.150	 8.830	 8.620	      	      	      	      	      	      	8059	084.67666	-69.10078
084.2584039	-73.6993428	  1250	 1.00038283	 	      	10.990	11.110	10.970	10.970	      	      	      	      	      	      	8059	084.25840	-73.69934
086.4142083	+20.6950372	  1251	 1.00038307	V	      	 9.990	 6.960	 4.750	 3.230	 2.260	 0.290	      	      	      	      	8029	086.41421	+20.69504
086.1157933	-22.4483822	  1252	 1.00038393	 	 4.080	 4.070	 3.600	 3.150	 2.890	 2.700	 2.410	      	      	      	      	8029	086.11579	-22.44838
086.1157933	-22.4483822	  1252	 1.00038393	 	      	      	      	      	      	 2.690	 2.420	 2.400	      	      	 2.470	8132	086.11579	-22.44838
086.1157933	-22.4483822	  1252	 1.00038393	 	      	      	      	      	      	 2.690	 2.420	 2.400	      	      	 2.470	8134	086.11579	-22.44838
086.6806667	+00.0766222	  1255	 1.00038563	1	10.930	11.000	10.420	 9.760	 9.170	 9.070	 8.600	 7.640	      	      	      	8137	086.68067	+00.07662
086.6806667	+00.0766222	  1255	 1.00038563	2	12.090	11.700	10.560	 9.330	 8.250	 7.560	 6.710	 6.570	      	      	      	8137	086.68067	+00.07662
087.2934922	+39.1810711	  1257	 1.00038656	 	 6.160	 5.470	 4.530	 3.800	 3.310	 2.920	 2.340	      	      	      	      	8029	087.29349	+39.18107
086.4995625	-32.3064350	  1258	 1.00038666	 	      	 4.890	 5.170	 5.280	 5.550	      	      	      	      	      	      	8059	086.49956	-32.30643
086.7389200	-14.8219500	  1259	 1.00038678	 	 3.710	 3.650	 3.550	 3.430	 3.400	      	      	      	      	      	      	8029	086.73892	-14.82195
086.7389200	-14.8219500	  1259	 1.00038678	 	 3.740	 3.590	 3.510	 3.390	      	      	      	      	      	      	      	8083	086.73892	-14.82195
087.2235383	+29.1361125	  1261	 1.00038708	 	      	      	      	      	      	      	 8.000	      	      	      	 8.000	8111	087.22354	+29.13611
086.9391206	-09.6696047	  1262	 1.00038771	 	 0.850	 1.870	 2.050	 2.070	 2.250	 2.480	 2.600	 2.600	      	      	      	8029	086.93912	-09.66960
086.9391206	-09.6696047	  1262	 1.00038771	 	 0.880	 1.880	 2.060	 2.100	 2.270	 2.470	 2.590	 2.620	      	      	      	8137	086.93912	-09.66960
087.3872106	+12.6513236	  1264	 1.00038899	 	 4.680	 4.840	 4.910	 4.890	 4.970	      	      	      	      	      	      	8029	087.38721	+12.65132
087.7601558	+37.3055731	  1265	 1.00038944	 	 8.290	 6.360	 4.740	 3.380	 2.310	 1.730	 0.680	      	      	      	      	8029	087.76016	+37.30557
087.8724958	+39.1484803	  1266	 1.00039003	 	 6.200	 5.110	 3.970	 3.150	 2.590	 2.180	 1.510	      	      	      	      	8029	087.87250	+39.14848
086.1932450	-65.7355258	  1267	 1.00039014	 	      	      	      	 4.080	 3.910	      	      	      	      	      	      	8037	086.19324	-65.73553
086.1932450	-65.7355258	  1267	 1.00039014	 	      	      	      	      	      	 3.850	 3.710	      	      	      	 3.750	8132	086.19324	-65.73553
087.8572914	+32.1246939	  1269	 1.00039045	 	10.020	 8.000	 6.250	 4.700	 3.310	 2.470	 1.330	      	      	      	      	8029	087.85729	+32.12469
087.8572914	+32.1246939	  1269	 1.00039045	 	10.070	 8.010	 6.280	 4.660	 3.250	 2.400	 1.260	 1.080	      	      	 1.490	8057	087.85729	+32.12469
086.8211989	-51.0665142	  1271	 1.00039060	 	      	      	      	 3.720	 3.560	      	      	      	      	      	      	8037	086.82120	-51.06651
086.8211989	-51.0665142	  1271	 1.00039060	 	      	      	      	      	      	 3.550	 3.470	 3.490	      	      	 3.510	8132	086.82120	-51.06651
088.7115922	+55.7069467	  1273	 1.00039283	 	 5.170	 5.050	 5.000	 4.910	 4.890	      	      	      	      	      	      	8029	088.71159	+55.70695
088.3318589	+27.6122619	  1274	 1.00039357	 	 4.600	 4.570	 4.590	 4.550	 4.550	      	      	      	      	      	      	8029	088.33186	+27.61226
087.8303989	-20.8790886	  1275	 1.00039364	 	 5.540	 4.830	 3.850	 2.990	 2.430	 1.990	 1.310	      	      	      	      	8029	087.83040	-20.87909
087.7399706	-35.7683086	  1276	 1.00039425	 	 5.490	 4.280	 3.120	 2.270	 1.690	 1.250	 0.530	      	      	      	      	8029	087.73997	-35.76831
087.4569264	-56.1666631	  1277	 1.00039523	 	      	      	      	 3.690	 3.150	      	      	      	      	      	      	8037	087.45693	-56.16666
088.5957606	+20.2761744	  1278	 1.00039587	 	 5.080	 5.000	 4.410	 3.900	 3.590	      	      	      	      	      	      	8029	088.59576	+20.27617
088.5957606	+20.2761744	  1278	 1.00039587	 	      	      	      	      	      	 3.340	 2.970	 2.880	      	      	 3.040	8043	088.59576	+20.27617
087.7217539	-52.1088728	  1280	 1.00039640	 	      	      	      	 4.260	 3.840	      	      	      	      	      	      	8037	087.72175	-52.10887
088.2786717	-33.8013608	  1281	 1.00039764	 	 4.160	 4.720	 4.870	 4.940	 5.090	 5.140	 5.350	      	      	      	      	8029	088.27867	-33.80136
088.7929389	+07.4070628	  1282	 1.00039801	V	      	      	      	      	      	      	      	      	      	-4.610	      	8002	088.79294	+07.40706
088.7929389	+07.4070628	  1282	 1.00039801	V	      	      	      	      	      	      	      	      	-3.990	-4.610	      	8004	088.79294	+07.40706
088.7929389	+07.4070628	  1282	 1.00039801	V	      	      	      	      	      	      	      	      	-4.020	-4.670	      	8011	088.79294	+07.40706
088.7929389	+07.4070628	  1282	 1.00039801	V	 4.380	 2.260	 0.420	-1.220	-2.500	-3.000	-4.000	-4.300	      	      	      	8029	088.79294	+07.40706
088.7929389	+07.4070628	  1282	 1.00039801	V	      	      	      	      	      	      	      	      	-4.100	-4.770	      	8035	088.79294	+07.40706
088.7929389	+07.4070628	  1282	 1.00039801	V	 4.360	 2.290	 0.400	-1.190	-2.470	-2.930	-4.010	-4.430	      	      	-3.730	8057	088.79294	+07.40706
089.8818192	+54.2846561	  1288	 1.00040035	 	 5.620	 4.710	 3.720	 2.950	 2.450	 2.090	 1.460	      	      	      	      	8029	089.88182	+54.28466
089.4985661	+25.9539119	  1289	 1.00040111	 	 3.820	 4.760	 4.820	 4.760	 4.870	      	      	      	      	      	      	8029	089.49857	+25.95391
089.1012206	-14.1677003	  1290	 1.00040136	 	 4.050	 4.050	 3.720	 3.390	 3.230	 3.120	 2.900	      	      	      	      	8029	089.10122	-14.16770
089.1012206	-14.1677003	  1290	 1.00040136	 	      	      	      	      	      	 3.080	 2.900	 2.920	      	      	 2.940	8132	089.10122	-14.16770
089.8821789	+44.9474328	  1292	 1.00040183	D	 1.970	 1.930	 1.900	 1.820	 1.830	 1.830	 1.850	 1.860	      	      	      	8039	089.88218	+44.94743
089.8821789	+44.9474328	  1292	 1.00040183	V	 1.970	 1.930	 1.900	 1.820	 1.830	 1.850	 1.860	      	      	      	      	8029	089.88218	+44.94743
