RA	Dec	JP11	LID	n_LID	U	B	V	R	I	J	K	L	M	N	H	ref	_RA	_DE
081.9097375	+11.4274814	    42	 0.01100809	V	12.270	11.630	10.560	 9.550	 8.760	 8.280	 6.930	 5.910	      	      	      	8048	081.90974	+11.42748
081.9097375	+11.4274814	    42	 0.01100809	V	      	      	      	      	      	      	 6.620	 5.530	      	      	 7.380	8140	081.90974	+11.42748
202.4991083	+10.3771622	    45	 0.01102576	 	11.770	10.550	 9.060	 7.610	 6.520	 6.020	 5.030	      	      	      	      	8008	202.49911	+10.37716
202.4991083	+10.3771622	    45	 0.01102576	 	      	      	      	      	      	 6.020	 5.100	 5.060	      	      	 5.310	8075	202.49911	+10.37716
202.4991083	+10.3771622	    45	 0.01102576	 	      	      	      	      	      	      	 5.090	 4.900	      	      	 5.290	8130	202.49911	+10.37716
091.7123250	+13.5969611	    48	 0.01301110	 	12.820	10.800	 9.010	 7.500	 6.270	 5.500	 4.360	 4.190	      	      	 4.600	8057	091.71232	+13.59696
095.2679167	+13.9077778	    49	 0.01301212	 	15.140	12.970	10.440	 7.800	 5.810	 4.720	 3.180	 2.660	      	      	 3.590	8057	095.26792	+13.90778
290.3915625	+14.8824694	    50	 0.01403887	 	      	      	      	      	      	      	 5.280	 4.630	      	      	 5.720	8111	290.39156	+14.88247
066.0705872	+18.0029144	    51	 0.01700715	 	12.000	11.050	 9.990	 9.130	 8.580	 8.200	 7.600	 7.230	      	      	      	8048	066.07059	+18.00291
067.3816911	+17.8931822	    52	 0.01700734	 	10.280	 9.790	 8.960	 8.310	 7.900	 7.560	 7.080	 6.940	      	      	      	8048	067.38169	+17.89318
099.2949675	+17.5648014	    52	 0.01701320	 	12.310	11.130	 9.630	 8.340	 7.370	      	      	      	      	      	      	8004	099.29497	+17.56480
099.2949675	+17.5648014	    52	 0.01701320	 	12.320	11.120	 9.630	 8.340	 7.390	 6.680	 5.930	 5.810	      	      	 6.080	8075	099.29497	+17.56480
099.2949675	+17.5648014	    52	 0.01701320	 	      	      	      	      	      	      	 5.910	      	      	      	 6.100	8130	099.29497	+17.56480
266.4282489	+17.2143533	    56	 0.01703325	 	11.030	 9.900	 8.720	 7.890	 7.320	 6.780	 6.040	 5.070	      	      	      	8007	266.42825	+17.21435
247.3624822	+19.5095806	    57	 0.01903109	 	13.160	11.880	10.380	 9.420	 8.780	 8.000	 7.500	      	      	      	      	8007	247.36248	+19.50958
352.9674125	+19.9372589	    58	 0.01905116	D	12.670	11.630	 9.890	      	      	 6.010	 5.140	 4.960	      	      	 5.410	8075	352.96741	+19.93726
352.9674125	+19.9372589	    58	 0.01905116	D	      	      	      	      	      	      	 5.050	 4.900	      	      	 5.300	8130	352.96741	+19.93726
134.1672450	+19.8491472	    60	 0.02002243	V	22.350	14.350	 9.050	 6.140	 4.480	 3.570	 1.190	 0.460	      	      	      	8007	134.16724	+19.84915
134.1672450	+19.8491472	    60	 0.02002243	V	22.310	14.280	 9.010	 6.080	 4.420	 3.580	 1.230	 0.490	      	      	      	8038	134.16724	+19.84915
154.9011167	+19.8699722	    62	 0.02002465	 	12.030	10.970	 9.430	 7.720	 6.250	 5.540	 4.720	 4.320	      	      	      	8008	154.90112	+19.86997
154.9011167	+19.8699722	    62	 0.02002465	 	      	      	      	      	      	      	 4.600	 4.500	      	      	 4.820	8130	154.90112	+19.86997
295.7955250	+23.2960083	    64	 0.02203782	 	 9.350	 9.910	 9.340	 8.780	 8.340	 8.080	 7.700	 7.840	      	      	      	8048	295.79552	+23.29601
089.8750000	+23.7333333	    65	 0.02301138	 	15.160	12.780	10.260	 8.000	 6.260	 5.170	 3.600	 3.280	      	      	 4.010	8057	089.87500	+23.73333
251.8527931	+23.2159617	    66	 0.02302998	 	12.130	11.000	 9.800	 9.000	 8.430	 8.150	 6.880	      	      	      	      	8007	251.85279	+23.21596
216.9374675	+23.8408367	    67	 0.02402735	 	      	      	      	      	      	      	 7.880	      	      	      	 8.000	8130	216.93747	+23.84084
297.5497125	+24.9233889	    68	 0.02403902	 	14.900	12.330	 9.300	 6.600	 4.490	 3.100	 1.600	 1.000	      	      	 2.110	8057	297.54971	+24.92339
184.2059708	+24.8558194	    69	 0.02502479	 	11.810	11.340	10.540	 9.930	 9.580	      	      	      	      	      	      	8097	184.20597	+24.85582
185.7176292	+25.0667250	    70	 0.02502500	 	12.650	11.590	10.550	 9.720	 9.170	      	      	      	      	      	      	8061	185.71763	+25.06672
189.8500000	+25.2500000	    71	 0.02502541	 	12.710	11.590	10.480	 9.610	 9.070	      	      	      	      	      	      	8097	189.85000	+25.25000
190.0208833	+24.9888167	    72	 0.02502544	 	11.530	10.610	 9.560	 8.780	 8.230	      	      	      	      	      	      	8097	190.02088	+24.98882
191.0968750	+24.7574167	    73	 0.02502555	 	10.590	10.090	 9.150	 8.440	 7.950	      	      	      	      	      	      	8061	191.09687	+24.75742
