#DM	RA	Dec	U	B1	B	B2	V2	V1	V	G
+35.00008 	2.16667	36.6233	7.121	6.883	5.873	7.237	-99.999	6.966	 6.225	7.309
-18.00003 	2.15125	-17.5767	10.482	8.896	7.22	8.188	-99.999	6.879	 6.053	6.907
+36.00004 	2.2175	37.19	9.599	9.136	8.144	9.526	-99.999	9.42	 8.692	9.803
+24.00003 	2.21292	25.4567	8.466	7.803	6.53	7.698	-99.999	7.027	 6.260	7.236
+58.00003 	2.25667	59.1567	3.265	2.729	1.741	3.154	-99.999	3.019	 2.279	3.399
+27.00003 	2.23917	28.24	7.37	6.776	5.806	7.22	-99.999	7.191	 6.471	7.603
-25.00022 	2.22333	-25.1267	15.005	14.209	12.724	13.739	-99.999	12.761	11.932	12.712
+17.00007 	2.26083	18.2233	8.054	7.254	5.922	7.05	-99.999	6.343	 5.567	6.529
-30.00019 	2.24667	-29.9267	10.888	10.659	9.654	11.028	-99.999	10.771	10.037	11.11
-40.00015 	2.24292	-39.7433	8.94	8.602	7.51	8.807	-99.999	8.457	 7.713	8.758
-27.00016 	2.2725	-27.11	15.089	14.075	12.631	13.667	-99.999	12.526	11.685	12.488
-54.00019 	2.25875	-54.01	7.927	7.392	6.267	7.535	-99.999	7.068	 6.318	7.336
-00.00007 	2.30625	1.04	10.852	10.515	9.41	10.698	-99.999	10.317	 9.571	10.61
-38.00017 	2.29292	-38.2767	10.556	10.228	9.122	10.408	-99.999	10.002	 9.256	10.294
-50.00020 	2.28625	-50.1767	6.831	6.734	5.919	7.487	-99.999	7.714	 7.032	8.243
-28.00016 	2.34708	-27.9933	6.339	5.932	4.941	6.325	-99.999	6.125	 5.395	6.48
-38.00019 	2.34292	-37.3767	11.974	11.826	10.86	12.262	-99.999	11.999	11.272	12.338
-41.00020 	2.34125	-41.0267	10.876	10.395	9.18	10.381	-99.999	9.867	 9.109	10.095
-46.00018 	2.33875	-45.7433	6.244	5.512	4.2	5.343	-99.999	4.65	 3.877	4.85
+10.00006 	2.38417	11.7567	12.168	11.674	10.574	11.844	-99.999	11.261	10.509	11.519
-31.00026 	2.37083	-30.71	11.676	11.394	10.379	11.736	-99.999	11.458	10.728	11.796
-32.00024 	2.42	-31.8267	11.759	11.093	9.767	10.902	-99.999	10.299	 9.518	10.446
+11.00006 	2.45958	11.8067	12.123	11.784	10.624	11.878	-99.999	11.464	10.712	11.742
-29.00025 	2.44583	-29.2267	10.932	10.703	9.664	11.013	-99.999	10.698	 9.960	11.022
-34.00029 	2.46875	-33.7767	10.561	10.11	8.89	10.091	-99.999	9.576	 8.815	9.794
-50.00021 	2.45958	-49.86	11.317	10.497	9.155	10.283	-99.999	9.567	 8.793	9.745
+10.00008 	2.50917	11.1567	5.674	5.334	4.488	6.022	-99.999	6.218	 5.526	6.726
-62.00009 	2.47125	-62.31	7.182	6.491	5.558	7.011	-99.999	7.048	 6.334	7.49
+45.00017 	2.575	46.0731	6.355	5.528	4.556	5.965	-99.999	5.765	 5.029	6.116
-49.00020 	2.53417	-49.1433	9.437	9.168	8.162	9.53	-99.999	9.284	 8.557	9.626
-06.00011 	2.57917	-5.26	8.054	7.399	6.113	7.271	-99.999	6.619	 5.844	6.818
-14.00011 	2.60083	-13.9933	9.913	9.711	8.664	9.997	-99.999	9.655	 8.915	9.967
+59.00005 	2.66542	60.8064	10.704	9.888	8.651	9.849	-99.999	9.016	 8.233	9.166
-82.00004 	2.5125	-82.2267	7.779	6.974	5.638	6.757	-99.999	6.056	 5.283	6.253
-13.00013 	2.67625	-12.5767	8.2	7.459	6.153	7.295	-99.999	6.623	 5.849	6.816
-39.00027 	2.68958	-38.76	9.766	9.493	8.432	9.752	-99.999	9.41	 8.672	9.724
-73.00004 	2.63917	-73.2267	7.542	7.124	6.136	7.519	-99.999	7.374	 6.645	7.75
-06.00015 	2.77875	-5.77694	14.129	13.173	11.701	12.724	-99.999	11.69	10.836	11.63
-16.00017 	2.825	-15.4603	5.757	5.521	4.518	5.89	-99.999	5.62	 4.886	5.956
-09.00022 	2.8525	-8.36028	10.673	10.474	9.468	10.836	-99.999	10.534	 9.796	10.864
-18.00010 	2.87375	-17.4603	11.554	11.328	10.265	11.59	-99.999	11.195	10.452	11.506
+56.00016 	2.94	57.2731	9.134	7.911	6.883	8.224	-99.999	7.817	 7.063	8.075
-28.00026 	2.89417	-27.7936	8.862	7.698	6.164	7.19	-99.999	6.216	 5.411	6.305
-35.00042 	2.915	-35.1436	6.06	5.8	4.803	6.181	-99.999	5.96	 5.230	6.312
-39.00031 	2.9125	-39.2103	12.474	11.732	10.346	11.42	-99.999	10.751	 9.957	10.815
